id,year,month,income,source
1,2024,23-05,6011.61,Monthly Compensation
2,2024,27-05,500.0,Per Diem
3,2024,10-06,300.0,Per Diem
4,2024,17-06,700.0,Per Diem
5,2024,26-06,6011.61,Monthly Compensation
6,2024,28-06,30.0,Monthly Money For Airtime
7,2024,05-07,400.0,Per Diem
8,2024,25-07,300.0,Per Diem
9,2024,25-07,100.0,Gift
10,2024,29-07,6843.98,Monthly Compensation
11,2024,30-07,2000.0,Refund
44,2024,07-08,200.0,Sales
45,2024,14-08,200.0,Per Diem
46,2024,19-08,200.0,Per Diem
47,2024,20-08,100.0,Per Diem
48,2024,26-08,2000.0,Refund
49,2024,26-08,200.0,Per Diem
50,2024,28-08,6843.93,Monthly Compensation
51,2024,29-08,60.0,Money For Airtime
52,2024,02-09,500.0,Per Diem
53,2024,16-09,3000.0,Gig
54,2024,17-09,100.0,Gift
55,2024,02-10,1500.0,Refund
88,2024,09-10,250.0,Refund
89,2024,10-10,6843.98,Monthly Compensation
90,2024,28-10,7476.89,Monthly Compensation
91,2024,28-10,20.0,Gift
92,2024,31-10,650.0,Refund
93,2024,05-11,2000.0,Gig
94,2024,08-11,1050.0,Refund
95,2024,12-11,10000.0,Gig
96,2024,13-11,60.0,Money For Airtime
97,2024,20-11,100.0,Per Diem
98,2024,22-11,150.0,Gig
99,2024,22-11,100.0,Gift
100,2024,22-11,7476.89,Monthly Compensation
